net,length_um
net2,165.155
_219_,157.54
_220_,144.36
_105_,138.885
_216_,129.36
_215_,128.32
_103_,125.52
_218_,124.52
_101_,120.13
_107_,119.32
_170_,116.72
_217_,116.08
clknet_2_1__leaf_SCK,113.16
clknet_2_0__leaf_SCK,109.02
clknet_2_2__leaf_SCK,108.82
_102_,108.76
state\[2\],100.88
_100_,99.54
_123_,97.5
net24,94.42
_124_,92.58
_172_,91.72
_155_,91.48
count\[2\],78.7
_162_,76.905
clknet_0_SCK,76.36
addr\[4\],76.06
net38,75.55
pre_pass_thru_mgmt,75.32
net8,73.66
count\[1\],71.65
clknet_2_3__leaf_SCK,69.9
net30,66.2
net26,65.84
_125_,64.84
ldata\[2\],63.22
SCK,62.83
addr\[1\],61.3
pre_pass_thru_user,60.92
_166_,59.5
clknet_1_1__leaf__221_,59.305
_161_,56.94
net10,55.88
net15,54.64
_211_,53.06
net5,52.58
_210_,52.36
state\[0\],51.72
addr\[0\],51.36
net29,51.12
addr\[3\],50.84
net36,50.29
addr\[2\],50.26
_209_,49.66
net35,49.5
_213_,49.36
_128_,49.2
_126_,45.2
_156_,45
_134_,44.2
_212_,43.88
fixed\[1\],41.38
_150_,39.4
_130_,39.3
_199_,38.14
addr\[6\],36.6
addr\[5\],36.22
fixed\[2\],34.5
net6,34.12
state\[3\],34.06
net7,31.86
net20,31.51
clknet_1_0__leaf__221_,31.36
_132_,29.81
net22,29.3
_145_,27.92
net19,27.9
clknet_0__221_,27.6
_143_,27.24
net32,25.94
state\[4\],25.6
_206_,24.44
net14,22.78
net23,22.76
_131_,22.64
pass_thru_user,22.16
_104_,21.36
oaddr[5],21.14
_167_,21.11
ldata\[4\],20.24
net25,19.82
oaddr[6],19.02
net33,18.78
_001_,18.6
net28,18.6
_148_,18.44
readmode,18.32
idata[3],17.76
odata[6],17.04
ldata\[6\],16.96
state\[1\],16.86
net3,16.7
count\[0\],15.97
net12,15.58
writemode,15.34
_149_,14.96
_160_,14.36
_157_,13.74
_051_,13.62
_075_,13.62
_174_,13.61
ldata\[0\],12.96
net27,12.92
_193_,12.72
_221_,12.7
pass_thru_user_reset,12.16
net49,11.82
idata[2],11.8
odata[2],11.6
_081_,11.36
idata[1],11.34
fixed\[0\],11.16
net37,10.66
idata[0],10.42
idata[7],10.42
_044_,10.34
_037_,9.91
SDO,9.86
pass_thru_user_delay,9.86
net13,9.64
oaddr[7],9.63
sdoenb,9.61
ldata\[1\],9.58
_152_,9.44
odata[3],9.4
oaddr[2],9.39
_127_,9.22
_205_,9.09
ldata\[3\],9
net72,8.98
oaddr[0],8.97
CSB,8.72
idata[4],8.72
_076_,8.62
_086_,8.6
_113_,8.4
_151_,8.32
net58,8.16
_133_,8.14
_011_,8.09
oaddr[4],8.07
ldata\[5\],8.06
odata[0],8.04
_110_,8.02
addr\[7\],7.64
odata[5],7.58
pass_thru_mgmt_delay,7.58
rdstb,7.58
net64,7.58
_061_,7.3
_063_,7.3
net51,7.24
_000_,7.18
_002_,7.18
_184_,7.18
_032_,6.91
_120_,6.66
_116_,6.64
_117_,6.48
idata[6],6.43
_009_,6.3
_033_,6.25
oaddr[3],6.21
_154_,6.18
_114_,6.14
_140_,6.14
_007_,6.06
_053_,6.02
_191_,6.02
net65,5.98
_144_,5.96
net31,5.96
_085_,5.92
_091_,5.92
_203_,5.92
odata[4],5.87
_201_,5.86
_186_,5.8
net57,5.72
_109_,5.68
_111_,5.68
odata[7],5.63
pass_thru_mgmt_reset,5.53
wrstb,5.53
net53,5.52
_182_,5.48
_004_,5.38
net55,5.38
net62,5.38
net59,5.36
_180_,5.34
_195_,5.34
idata[5],5.29
_163_,5.24
odata[1],5.19
_121_,5.14
_214_,5.14
_173_,5.12
_038_,5.1
_055_,5.07
_164_,4.88
